title,abstract,authors,categories
Branes at Angles from DBI Action,"  In this paper we investigate about several configurations of two intersecting
branes at arbitrary angles. We choose the viewpoint of a brane source and a
brane probe and use the low-energy dynamics of p-branes. For each p-brane this
dynamics is governed by a generic DBI action including a WZ term, which couples
to the SUGRA background of the other brane. The analysis naturally reveals two
types of configurations: the ``marginal'' and the ``non-marginal'' ones. We
specify possible configurations for a pair of similar or non-similar branes in
either of these two categories. In particular, for two similar branes at
angles, this analysis reveals that all the marginal configurations are
specified by SU(2) angles while the non-marginal configurations are specified
by $Sp(2)$ angles. On the other hand, we find that no other configuration of
two intersecting branes at non-trivial angles can be constructed out of flat
p-branes. So in particular, two non-similar branes can only be found in an
orthogonal configuration. In this case the intersection rules for either of the
marginal or non-marginal configurations are derived, which thereby provide
interpretations for the known results from supergravity.
",Reza Abbaspur,hep-th
On Asymptotic Freedom and Confinement from Type-IIB Supergravity,"  We present a new type-IIB supergravity vacuum that describes the strong
coupling regime of a non-supersymmetric gauge theory. The latter has a running
coupling such that the theory becomes asymptotically free in the ultraviolet.
It also has a running theta angle due to a non-vanishing axion field in the
supergravity solution. We also present a worm-hole solution, which has finite
action per unit four-dimensional volume and two asymptotic regions, a flat
space and an AdS^5\times S^5. The corresponding N=2 gauge theory, instead of
being finite, has a running coupling. We compute the quark-antiquark potential
in this case and find that it exhibits, under certain assumptions, an area-law
behaviour for large separations.
",A. Kehagias and K. Sfetsos,hep-th
"Two Conjectures on Gauge Theories, Gravity, and Infinite Dimensional
  Kac-Moody Groups","  We propose that the structure of gauge theories, the $(2,0)$ and
little-string theories is encoded in a unique function on the real group
manifold $E_{10}(R)$. The function is invariant under the maximal compact
subgroup $K$ acting on the right and under the discrete U-duality subgroup
$E_{10}(Z)$ on the left. The manifold $E_{10}(Z)\backslash E_{10}(R) /K$
contains an infinite number of periodic variables. The partition function of
U(n), N=4 Super-Yang-Mills theory on $T^4$, with generic SO(6) R-symmetry
twists, for example, is derived from the $n^{th}$ coefficient of the Fourier
transform of the function with respect to appropriate periodic variables,
setting other variables to the R-symmetry twists and the radii of $T^4$. In
particular, the partition function of nonsupersymmetric Yang-Mills theory is a
special case, obtained from the twisted $(2,0)$ or little-string theories. The
function also seems to encode the answer to questions about M-theory on an
arbitrary $T^8$. The second conjecture that we wish to propose is that this
function is harmonic with respect to the $E_{10}(R)$ invariant metric. In a
similar fashion, we propose that there exists a function on the infinite
Kac-Moody group $DE_{18}$ that encodes the twisted partition functions of the
$E_8$ 5+1D theories as well as answers to questions about the heterotic string
on $T^7$.
",Ori J. Ganor,hep-th
"On the Yangian Y(e_8) quantum symmetry of maximal supergravity in two
  dimensions","  We present the algebraic framework for the quantization of the classical
bosonic charge algebra of maximally extended (N=16) supergravity in two
dimensions, thereby taking the first steps towards an exact quantization of
this model. At the core of our construction is the Yangian algebra $Y(e_8)$
whose RTT presentation we discuss in detail. The full symmetry algebra is a
centrally extended twisted version of the Yangian double $DY(e_8)_c$. We show
that there exists only one special value of the central charge for which the
quantum algebra admits an ideal by which the algebra can be divided so as to
consistently reproduce the classical coset structure $E_{8(8)}/SO(16)$ in the
limit $\hbar\to 0$.
","K. Koepsell, H. Nicolai, H. Samtleben",hep-th
"Some Algebraic Symmetries of (2,2)-Supersymmetric Systems","  The Hilbert spaces of supersymmetric systems admit symmetries which are often
related to the topology and geometry of the (target) field-space. Here, we
study certain (2,2)-supersymmetric systems in 2-dimensional spacetime which are
closely related to superstring models. They all turn out to posess some
hitherto unexploited and geometrically and topologically unobstructed
symmetries, providing new tools for studying the topology and geometry of
superstring target spacetimes, and so the dynamics of the effective field
theory in these.
",Tristan Hubsch,hep-th
A Study of Brane Solutions in D-dimensional Coupled Gravity System,"  In this paper, we use only the equation of motion for an interacting system
of gravity, dilaton and antisymmetric tensor to study the soliton solutions by
making use of a Poincar\'e invariant ansatz. We show that the system of
equations are completly integrable and the solution is unique with appropriate
boundary conditions. Some new class of solutions are also given explicitly.
","Bihn Zhou, Chuan-Jie Zhu",hep-th
"Thouless energy in QCD and effects of diffusion modes on level
  correlations of Dirac operator","  The correlations of the QCD Dirac eigenvalues are studied with use of an
extended chiral random matrix model. The inclusion of spatial dependence which
the original model lacks enables us to investigate the effects of diffusion
modes. We get analytical expressions of level correlation functions with
non-universal behavior caused by diffusion modes which is characterized by
Thouless energy. Pion mode is shown to be responsible for these diffusion
effects when QCD vacuum is considered a disordered medium.
","K. Takahashi (Univ. of Tsukuba), S. Iida (Ryukoku Univ.)",hep-th hep-ph
"N=(0,4) Quiver $SCFT_2$ and Supergravity on $AdS_3 \times S^2$","  We study the proposed duality between the 5-dimensional
supergravity/superstring on $AdS_3\times S^2$ and the 2-dimensional N=(0,4)
SCFT defined on the boundary of AdS-space. We construct explicitly the N=(0,4)
SCFT by imposing the `quiver projection' developed by Douglas-Moore on the
N=(4,4) SCFT of symmetric orbifold, which is proposed to be the dual of the
6-dimensional supergravity/superstring on $AdS_3\times S^3$.
  We explore in detail the spectrum of chiral primaries in this `quiver
$SCFT_2$'. We compare it with the Kaluza-Klein spectrum on $AdS_3\times S^2$
and check the consistency between them. We further emphasize that orbifolding
of bulk theory should {\em not} correspond to orbifolding of the boundary CFT
in the usual sense of two dimensional CFT, rather corresponds to the quiver
projection. We observe that these are not actually equivalent with each other
when we focus on the multi-particle states.
",Yuji Sugawara (Univ. of Tokyo),hep-th
"Interconnections between type II superstrings, M theory and N=4
  supersymmetric Yang--Mills","  These lecture notes begin with a review of the first nonleading contributions
to the derivative expansion of the M theory effective action compactified on a
two-torus. The form of these higher-derivative interactions is shown to follow
from ten-dimensional type IIB supersymmetry as well as from one-loop quantum
corrections to classical eleven-dimensional supergravity. The detailed
information concerning D-instanton effects encoded in these terms is related to
the problem of evaluating the Witten index for $N$ D-particles in the type IIA
theory. Using the AdS/CFT conjecture, it also leads to very specific
predictions of multi-instanton contributions in $\cal N=4$ supersymmetric SU(N)
Yang--Mills theory in the limit of strong 't Hooft coupling. [Extended version
of lectures given at 22nd Johns Hopkins Workshop (Gothenberg, August 20-22
1998); `Quantum Aspects of Gauge Theories, Supersymmetry and Unification', TMR
meeting (Corfu, September 20-26 1998); Andrjewski lectures (Berlin, November
1-6 1998).]
",Michael B. Green,hep-th
Comments on Topologically Massive Gravity with Propagating Torsion,"  We study and discuss some of the consequences of the inclusion of torsion in
3D Einstein-Chern-Simons gravity. Torsion may trigger the excitation of
non-physical modes in the spectrum. Higher-derivative terms are then added up
and tree-level unitarity is contemplated.
","J. L. Boldo, L. M. de Moraes, and J. A. Helayel-Neto (CBPF, Rio de
  Janeiro)",hep-th
